,AU06_r,AU12_r
0,0.0,0.0
100,0.264732,0.0
200,0.451272,0.188958
300,0.303713,0.0
400,0.0,0.0
500,0.0,0.0
600,0.08956839999999999,0.0
700,0.31869000000000003,0.731
800,0.529153,0.453903
900,0.0,0.28344899999999995
1000,0.260218,0.462858
1100,0.215583,0.020254599999999998
1200,0.12621500000000002,0.43525200000000003
1300,0.130021,0.31999099999999997
1400,0.349326,0.396879
1500,0.0762493,0.36382
1600,0.0,0.00683442
1700,0.0,0.0
1800,0.0,0.038354
1900,0.09558860000000001,0.293606
2000,0.0,0.0569285
2100,0.0405915,0.0584168
2200,0.0,0.0
2300,0.0,0.0675882
2400,0.0,0.428964
2500,0.0105252,0.0689091
2600,0.0,0.020965099999999997
2700,0.0,0.0
2800,0.0,0.0
2900,0.0,0.0
3000,0.0,0.0
3100,0.0,0.0397707
3200,0.126497,0.434587
3300,0.361904,0.357774
3400,0.778669,0.0
3500,0.224875,0.033218
3600,0.000509902,0.0
3700,0.0,0.0335543
3800,0.8902,0.562483
3900,0.621437,0.0406276
4000,0.0,0.0868987
4100,0.0,0.0
4200,0.738725,0.204799
4300,0.0,0.0
4400,0.21067600000000003,0.0048966
4500,0.0,0.0
4600,0.771084,0.256965
4700,0.0,0.0
4800,0.0,0.0
4900,0.0,0.00200948
5000,0.264561,0.0
5100,0.0,0.00251616
5200,0.0,0.0
5300,0.26734,0.0035381999999999996
5400,0.282383,0.0
95,0.0,0.0
195,0.21423299999999998,0.571816
295,0.324193,0.5794050000000001
395,0.34281999999999996,0.33819699999999997
495,0.329388,0.451665
595,0.273215,0.326846
695,0.109694,1.00634
795,0.13563599999999998,0.5185960000000001
895,0.384472,0.370021
995,0.260728,0.410786
1095,0.5936130000000001,0.687609
1195,0.424025,0.603913
1295,0.800716,1.08199
1395,0.6363260000000001,1.10077
1495,0.732166,0.98959
1595,0.517722,0.68286
1695,0.727679,0.592983
1795,0.6243340000000001,0.672728
1895,0.573226,1.2706
1995,0.8778450000000001,1.37245
2095,0.531695,1.00577
2195,0.629463,0.783985
2295,0.706022,0.777406
2395,0.672982,0.649179
2495,0.45090600000000003,0.662818
2595,0.433514,0.504837
2695,0.647416,0.517781
2795,0.583641,0.665821
2895,0.387845,0.45931000000000005
2995,0.458921,0.553457
3095,0.46950699999999995,0.47892299999999993
3195,0.533497,0.5393600000000001
3295,0.670006,0.896645
3395,0.286198,0.264935
3495,0.265975,0.30335700000000004
3595,0.538383,0.619777
3695,0.587255,0.8519450000000001
3795,0.519928,0.7976300000000001
3895,0.9066270000000001,1.18262
3995,0.6946479999999999,0.9005270000000001
4095,0.5916100000000001,0.48700299999999996
4195,0.6597069999999999,0.623316
4295,0.768744,0.6760229999999999
4395,0.8369559999999999,1.02241
4495,0.450039,0.5122720000000001
4595,0.608548,0.57752
4695,0.462081,0.48837200000000003
4795,0.611607,0.792662
4895,0.693477,0.90145
4995,0.487048,0.47129799999999994
5095,0.5003,0.598126
5195,0.622368,0.988857
62,0.5113989999999999,0.56093
162,0.0,0.0
262,0.312386,0.48945
362,0.0,0.0778284
462,0.0,0.00729488
562,0.0,0.0
662,1.01625,0.9540790000000001
762,0.281843,0.336927
862,0.443845,0.412596
962,0.5892189999999999,0.39119699999999996
1062,0.027119400000000002,0.0
1162,0.0,0.00233655
1262,0.0153376,0.191392
1362,0.0,0.0
1462,0.0229218,0.028386
1562,0.691825,0.563359
1662,0.0,0.0
1762,0.0,0.0
1862,0.0,0.0
1962,0.322289,0.36849499999999996
2062,0.0,0.0
2162,0.0,0.0
2262,0.0,0.0
2362,0.0,0.0
2462,0.0,0.0
2562,0.0,0.0322393
2662,0.0,0.0
2762,0.0,0.0
2862,0.0,0.0
2962,0.0,0.0
3062,0.0,0.0
3162,0.0,0.0
3262,0.0,0.0
3362,0.0,0.0
3462,0.278941,0.10994100000000001
3562,0.0,0.0
3662,0.0,0.0
3762,0.0,0.0
3862,0.0,0.00830049
3962,0.0,0.0
4062,0.0,0.0
4162,0.0,0.0
4262,0.0,0.0
4362,0.03694890000000001,0.0
4462,0.0,0.30721
4562,0.0,0.389334
4662,0.0,0.0
4762,0.0,0.024672200000000002
4862,0.0,0.0
4962,0.0,0.0028602
5062,0.0,0.0
5162,0.0,0.013525799999999998
5262,0.0,0.0
5362,0.41179799999999994,0.19455699999999998
5462,0.0,0.0
5562,0.0,0.0
82,1.44281,1.15224
182,0.636595,0.6026520000000001
282,0.932506,0.8199649999999999
382,1.6662400000000002,1.45369
482,1.07746,1.0098799999999999
582,0.743021,0.458879
682,0.788845,0.434571
782,1.1169799999999999,0.664122
882,1.2278,1.29427
982,0.6058560000000001,0.698611
1082,0.49663100000000004,0.48686499999999994
1182,0.654104,0.779957
1282,0.935436,0.8681690000000001
1382,3.09137,2.85141
1482,2.8054200000000002,2.238
1582,1.98787,1.33718
1682,1.39772,1.2786899999999999
1782,0.814438,0.9634889999999999
1882,0.628359,0.9036489999999999
1982,0.7032430000000001,0.663506
2082,1.04172,0.450507
2182,0.8722620000000001,0.7160770000000001
2282,0.192978,0.296926
2382,0.290052,0.266637
2482,0.295641,0.170329
2582,0.8781700000000001,0.385467
2682,1.34685,0.608445
2782,0.9717450000000001,0.561792
2882,1.14619,0.409175
2982,0.992567,0.419282
3082,0.8711059999999999,0.43721899999999997
3182,1.88523,0.8439030000000001
3282,0.9773709999999999,0.365372
3382,1.77468,1.09533
3482,1.13602,0.0738536
3582,1.26288,0.390922
3682,2.42582,1.15028
3782,1.1946299999999999,0.64823
3882,1.60458,1.1873200000000002
3982,1.16626,0.9353959999999999
4082,0.945802,0.867265
4182,1.44567,0.796355
4282,1.11857,0.779288
4382,0.8740610000000001,0.575082
4482,1.36706,0.77518
4582,1.23181,0.86275
4682,1.77178,0.727259
4782,1.14323,0.7867029999999999
4882,1.87297,0.665455
4982,1.18277,0.7090920000000001
5082,1.26033,0.49054
5182,1.7924799999999999,0.5936140000000001
5282,1.7857299999999998,0.607611
54,0.0,0.0
154,0.0,0.0
254,0.0,0.0
354,0.7127859999999999,1.38915
454,0.0,0.08681799999999999
554,0.000891124,0.0
654,0.0,0.0
754,0.102585,0.336379
854,0.491277,0.24688200000000002
954,0.0,0.16806
1054,0.330815,0.0934924
1154,0.047317000000000005,0.09552630000000001
1254,0.341054,0.5260729999999999
