,AU06_r,AU12_r
24,0.0873971,0.0
155,0.680657,0.669438
255,0.0167223,0.0
356,0.44980200000000004,0.135074
463,0.0,0.0
599,0.08844830000000001,0.0
699,0.36536199999999996,0.668161
799,0.487742,0.43650500000000003
899,0.0,0.25349
999,0.31935,0.459765
1099,0.186839,0.131269
1199,0.11871500000000001,0.428831
1299,0.120423,0.291155
1399,0.361161,0.310974
1499,0.12340799999999999,0.365153
1599,0.0,0.0216584
1699,0.0,0.0
1799,0.0,0.07938350000000001
1899,0.167346,0.360205
1999,0.0,0.0856966
2099,0.0116125,0.05230419999999999
2199,0.0,0.0
2299,0.0,0.0
2399,0.0,0.425839
2499,0.0105252,0.0670985
2599,0.0,0.0079982
2699,0.0,0.0489179
2799,0.0,0.0
2899,0.0,0.0
2999,0.0,0.0
3099,0.0,0.058872
3199,0.10871900000000001,0.415968
3299,0.30735500000000004,0.355592
3401,0.731205,0.0
3505,0.370718,0.227505
3605,0.0,0.0
3705,0.0,0.0123463
3805,0.453545,0.44596800000000003
3905,0.042888800000000005,0.0
4005,0.0,0.155969
4105,0.315127,0.0390758
4205,0.42490500000000003,0.0388771
4305,0.0,0.0
4405,0.150082,0.0
4505,0.0,0.0
4605,0.44615299999999997,0.0959243
4705,0.250081,0.240076
4805,0.0,0.0
4905,0.0,0.0
5005,0.1099,0.0
5105,0.0,0.059847500000000005
5205,0.0,0.0
5305,0.263346,0.00516732
10,0.0,0.0
110,0.162509,0.373487
210,0.32745799999999997,0.640069
310,0.296875,0.46783100000000005
410,0.329485,0.448478
510,0.39879899999999996,0.368311
610,0.27336,0.414163
710,0.109023,0.420213
810,0.10446400000000002,0.24021599999999999
910,0.309012,0.49076800000000004
1010,0.216685,0.477738
1110,0.46272299999999994,0.634214
1210,0.545996,0.676906
1310,0.944664,1.21367
1410,0.543612,0.349682
1510,1.12574,1.7376900000000002
1610,0.579283,0.967308
1710,0.355566,0.38121700000000003
1810,0.575784,0.41143500000000005
1910,0.9332239999999999,1.58086
2010,0.772461,1.05007
2110,0.317826,0.5925520000000001
2210,0.590232,0.6341979999999999
2310,0.73336,0.872223
2410,0.6387,0.728524
2510,0.497996,0.561268
2613,0.664265,0.633629
2713,0.485771,0.594862
2813,0.521403,0.6396930000000001
2913,0.35444000000000003,0.973792
3013,0.397401,0.394897
3113,0.571796,0.526791
3213,0.522475,0.685311
3313,0.517469,0.890884
3413,0.349509,0.188915
3513,0.444427,0.518501
3613,0.562656,0.755041
3713,0.50529,0.8091729999999999
3813,0.398928,0.463805
3913,0.61098,1.02709
4013,0.72465,0.900033
4113,0.814133,0.9975040000000001
4213,0.637926,0.771712
4313,0.556376,0.72687
4413,0.805071,1.2401799999999998
4513,0.363329,1.01415
4613,0.672801,0.713108
4713,0.5160939999999999,0.683656
4813,0.603731,0.7297140000000001
4913,0.320587,0.624019
5013,0.583012,0.49789799999999995
5113,0.49016000000000004,0.328527
5213,0.6874979999999999,0.928025
80,0.260824,0.367462
181,0.0,0.0
286,0.226604,0.0
393,0.0,0.0
496,0.0,0.0
596,0.0238947,0.0
696,0.838735,0.490494
