AU06_r,sigmas,pis,as,bs
0.24223399733417328,[[0.00674523]],0.13571642889059324,[6.34963072],[19.86316677]
0.32789728991821865,[[0.01835754]],0.016524893543210756,[3.60848057],[7.39643067]
0.0010739706802120907,[[0.00010016]],0.3222467676518082,[2.],[1860.24823159]
0.15626350558897115,[[0.00965335]],0.10432086824995793,[2.],[10.79889372]
0.31058439661479204,[[0.01857712]],0.020374874931152566,[3.26924225],[7.25685721]
0.49765779874420674,[[0.01011834]],0.012683463849817079,[11.79800738],[11.90906083]
0.11250501844015127,[[0.00544115]],0.1136774495578725,[2.],[15.77698478]
0.01588844765914484,[[0.00022267]],0.05150730944684723,[2.],[123.87762146]
0.09725651116290598,[[0.00419292]],0.11923210242534805,[2.],[18.56417587]
0.40565224243207115,[[0.01598921]],0.01093426646370201,[5.71110687],[8.36771798]
0.1997895894154493,[[0.01459862]],0.09278157498969034,[2.],[8.01053161]
