AU12_r,sigmas,pis,as,bs
0.01687156378518649,[[0.00023991]],0.05334914979604917,[2.],[116.54265707]
0.0010921111420075145,[[0.0001002]],0.25263722488982443,[2.],[1829.31544315]
0.2796925842050315,[[0.02480998]],0.029085927095659936,[2.],[5.150708]
0.5759998875119506,[[0.01143903]],0.010609287747131003,[11.72163706],[8.62843126]
0.1744553541660576,[[0.01164722]],0.08132101840417025,[2.],[9.46425118]
0.2678462422347528,[[0.02325398]],0.03238777494269335,[2.],[5.46697054]
0.11918162986098176,[[0.00602633]],0.15322862939266738,[2.],[14.78110966]
0.26908737700251184,[[0.02341675]],0.03207546034714492,[2.],[5.43252999]
0.3455623669392958,[[0.0333778]],0.014569066657838517,[2.],[3.78766727]
0.1654306373299471,[[0.0106435]],0.09704761344574257,[2.],[10.08965904]
0.1625281626282248,[[0.01032706]],0.10180975770931812,[2.],[10.30555965]
0.5861970731996836,[[0.00943967]],0.017479488380729952,[14.47723846],[10.21964101]
0.1728947492256108,[[0.01147157]],0.08407399572481694,[2.],[9.56773129]
0.37942454403894144,[[0.03243821]],0.003795255368126329,[2.37473198],[3.88404072]
0.2505824411119032,[[0.02100058]],0.036530350098087166,[2.],[5.98140521]
