AU06_r,AU12_r,sigmas,pis,as,bs
0.19380909347778538,0.1555975007310783,"[[5.05826545e-03 4.21931444e-07]
 [4.21931444e-07 9.59734973e-03]]",0.11788793165377408,[5.7928507 2.       ],[24.0966173  10.85367689]
0.0011131854842991325,0.08551857217506989,"[[1.00232294e-04 8.38350225e-07]
 [8.38350225e-07 4.44230577e-03]]",0.13408832547122504,[2. 2.],[1794.64577755   21.38673284]
0.0010623901121430245,0.0011009652610450029,"[[1.00193548e-04 1.76177159e-09]
 [1.76177159e-09 1.00283723e-04]]",0.18877112114134964,[2. 2.],[1880.54764153 1814.5877442 ]
0.23922224378910376,0.25936056458258916,"[[7.23185123e-03 2.52688671e-05]
 [2.52688671e-05 8.29063991e-03]]",0.11452514050392805,[5.780985  5.7499779],[18.38476526 16.41984545]
0.4616666595658177,0.42256636858239943,"[[ 1.43764658e-02 -2.24002524e-05]
 [-2.24002524e-05  1.02252736e-02]]",0.00541908671561287,[7.51931228 9.66106582],[ 8.76800699 13.20177073]
0.4798080849001274,0.6176689980341332,"[[5.73643235e-03 8.56455662e-05]
 [8.56455662e-05 7.11699357e-03]]",0.0195492140127322,[20.39665132 19.87764371],[22.11336875 12.30406489]
0.07509218901276717,0.10438210464204058,"[[2.61008454e-03 2.96191285e-05]
 [2.96191285e-05 4.73069380e-03]]",0.05465427010847936,[2. 2.],[24.63392859 17.16037243]
0.620431364787907,0.6768712029345718,"[[ 0.00393729 -0.00020716]
 [-0.00020716  0.01028124]]",0.0037929083399504343,[36.48867917 13.72245526],[22.32311089  6.55090724]
0.09816428009511523,0.11016238051380532,"[[4.22606588e-03 1.28916536e-05]
 [1.28916536e-05 5.20059379e-03]]",0.08369547891125356,[2. 2.],[18.37400975 16.15501799]
0.37354169272082594,0.5395880936642066,"[[5.47382048e-03 6.89705749e-05]
 [6.89705749e-05 4.86337667e-03]]",0.015847711108805642,[15.59553429 27.02384792],[26.15491712 23.0585172 ]
0.0907407291719081,0.01382409116037094,"[[4.49939736e-03 1.41868869e-05]
 [1.41868869e-05 1.91956637e-04]]",0.020469959103179454,[2. 2.],[ 20.04081914 142.67497189]
0.013650752073991,0.11814585152576701,"[[ 1.88682195e-04 -8.44001734e-06]
 [-8.44001734e-06  6.23162823e-03]]",0.0328013356792671,[2. 2.],[144.51207415  14.92822875]
0.10322591627597313,0.0011513579106747348,"[[ 7.11736413e-03 -1.14064405e-06]
 [-1.14064405e-06  1.00308736e-04]]",0.06574852804323557,[2. 2.],[  17.37497939 1735.07930562]
0.11688362458048665,0.1841531321349348,"[[5.74259407e-03 5.18041048e-05]
 [5.18041048e-05 5.64095640e-03]]",0.10803061638542254,[2.         4.72056583],[15.11103679 20.91334967]
0.31594215685360416,0.4012725144310955,"[[6.59098490e-03 6.82322267e-05]
 [6.82322267e-05 6.66479861e-03]]",0.03471837282178431,[10.04400803 14.06381254],[21.74664673 20.98422098]
