AU06_r,AU12_r,sigmas,pis,as,bs
0.3230671196830054,0.37196114300704075,"[[  1.00729115e-02   9.33436601e-05]
 [  9.33436601e-05   8.77986601e-03]]",0.025878725346395532,[ 6.69110001  9.52481561],[ 14.02007609  16.08220218]
0.10281914114522887,0.0011578945704348554,"[[  7.08881173e-03  -1.69418580e-06]
 [ -1.69418580e-06   1.00326494e-04]]",0.06605592897325707,[ 2.  2.],[   17.45163107  1725.27297551]
0.22918095062870258,0.24877660365589024,"[[  6.17909930e-03   8.97779964e-05]
 [  8.97779964e-05   8.90938589e-03]]",0.14980727309391892,[ 6.32297609  4.96965991],[ 21.26647264  15.00673594]
0.01683038814464349,0.11731607367067669,"[[  2.40681629e-04  -1.54454401e-05]
 [ -1.54454401e-05   6.08117991e-03]]",0.04533436324262869,[ 2.  2.],[ 116.83267236   15.04796229]
0.34534905791104303,0.4698510830568534,"[[ 0.00514932  0.000201  ]
 [ 0.000201    0.00844637]]",0.02799859230823485,[ 14.81734005  13.38648129],[ 28.08806164  15.10442098]
0.0010623428806638886,0.0011010520157667307,"[[  1.00193302e-04   1.87152536e-09]
 [  1.87152536e-09   1.00284056e-04]]",0.18877201043818012,[ 2.  2.],[ 1880.63133909  1814.44461057]
0.6078404722833173,0.625456919708473,"[[  4.59115544e-03   2.16933477e-05]
 [  2.16933477e-05   1.79371619e-02]]",0.005973819690782366,[ 30.95092471   7.54305322],[ 19.96856177   4.51701516]
0.12609463588946385,0.14266957554745707,"[[  6.10303765e-03  -1.12088471e-05]
 [ -1.12088471e-05   6.68058571e-03]]",0.30198651012135164,[ 2.15063562  2.46947033],[ 14.90509088  14.83954823]
0.10407417873105329,0.01783615950693812,"[[  5.57137391e-03   1.99359180e-05]
 [  1.99359180e-05   2.58238504e-04]]",0.03123996438290193,[ 2.  2.],[  17.21706253  110.1317624 ]
0.46777355450944214,0.6063085284278581,"[[ 0.00544216  0.0002737 ]
 [ 0.0002737   0.00699896]]",0.022506383105242347,[ 20.93138087  20.07175795],[ 23.81544303  13.0331004 ]
0.0011162752462119529,0.08563530960413146,"[[  1.00240945e-04   9.00884422e-07]
 [  9.00884422e-07   4.45583153e-03]]",0.1344464292971065,[ 2.  2.],[ 1789.67280363    21.35485221]
